"No.","Time","Source","Destination","Protocol","Length","Name","Transaction ID","Info"
"13","6.298151","192.168.1.10","147.182.172.189","DNS","126","5ea7b2117d8cc35a4a563d3ae0320ce8d3b40de420a6923aa9.pumpkincorp.com","0xacfd","Standard query 0xacfd A 5ea7b2117d8cc35a4a563d3ae0320ce8d3b40de420a6923aa9.pumpkincorp.com"
"14","6.462990","147.182.172.189","192.168.1.10","DNS","142","5ea7b2117d8cc35a4a563d3ae0320ce8d3b40de420a6923aa9.pumpkincorp.com","0xacfd","Standard query response 0xacfd A 5ea7b2117d8cc35a4a563d3ae0320ce8d3b40de420a6923aa9.pumpkincorp.com A 147.182.172.189"
"15","7.319849","192.168.1.10","147.182.172.189","DNS","126","09ce497656ceabea45f240089a7bc4b89f26e2eac1039a03e3.pumpkincorp.com","0x8482","Standard query 0x8482 A 09ce497656ceabea45f240089a7bc4b89f26e2eac1039a03e3.pumpkincorp.com"
"16","7.486926","147.182.172.189","192.168.1.10","DNS","142","09ce497656ceabea45f240089a7bc4b89f26e2eac1039a03e3.pumpkincorp.com","0x8482","Standard query response 0x8482 A 09ce497656ceabea45f240089a7bc4b89f26e2eac1039a03e3.pumpkincorp.com A 147.182.172.189"
"17","8.328749","192.168.1.10","147.182.172.189","DNS","126","f3fe4dd784b6350af7419d1cfa3821841662fa05f766e0aca9.pumpkincorp.com","0x02bc","Standard query 0x02bc A f3fe4dd784b6350af7419d1cfa3821841662fa05f766e0aca9.pumpkincorp.com"
"18","8.510635","147.182.172.189","192.168.1.10","DNS","142","f3fe4dd784b6350af7419d1cfa3821841662fa05f766e0aca9.pumpkincorp.com","0x02bc","Standard query response 0x02bc A f3fe4dd784b6350af7419d1cfa3821841662fa05f766e0aca9.pumpkincorp.com A 147.182.172.189"
"19","9.352202","192.168.1.10","147.182.172.189","DNS","126","07ae513d50fc01c67f82338a028736962ab8eb29d94842fd3c.pumpkincorp.com","0x084c","Standard query 0x084c A 07ae513d50fc01c67f82338a028736962ab8eb29d94842fd3c.pumpkincorp.com"
"20","9.490626","147.182.172.189","192.168.1.10","DNS","142","07ae513d50fc01c67f82338a028736962ab8eb29d94842fd3c.pumpkincorp.com","0x084c","Standard query response 0x084c A 07ae513d50fc01c67f82338a028736962ab8eb29d94842fd3c.pumpkincorp.com A 147.182.172.189"
"21","10.350869","192.168.1.10","147.182.172.189","DNS","126","0938fe1af5ddc852becad55fc8dd14c7011d4fc32cb9437ac8.pumpkincorp.com","0x1959","Standard query 0x1959 A 0938fe1af5ddc852becad55fc8dd14c7011d4fc32cb9437ac8.pumpkincorp.com"
"22","10.559766","147.182.172.189","192.168.1.10","DNS","142","0938fe1af5ddc852becad55fc8dd14c7011d4fc32cb9437ac8.pumpkincorp.com","0x1959","Standard query response 0x1959 A 0938fe1af5ddc852becad55fc8dd14c7011d4fc32cb9437ac8.pumpkincorp.com A 147.182.172.189"
"23","11.429098","192.168.1.10","147.182.172.189","DNS","126","87b1265ebe93654677ee81b768031d81cbc8b838f8e3ddb12a.pumpkincorp.com","0xceb6","Standard query 0xceb6 A 87b1265ebe93654677ee81b768031d81cbc8b838f8e3ddb12a.pumpkincorp.com"
"24","11.582957","147.182.172.189","192.168.1.10","DNS","142","87b1265ebe93654677ee81b768031d81cbc8b838f8e3ddb12a.pumpkincorp.com","0xceb6","Standard query response 0xceb6 A 87b1265ebe93654677ee81b768031d81cbc8b838f8e3ddb12a.pumpkincorp.com A 147.182.172.189"
"25","12.399344","192.168.1.10","147.182.172.189","DNS","126","c936b5282b6cb15edeadccb322b75f504b0708076269830501.pumpkincorp.com","0xbc22","Standard query 0xbc22 A c936b5282b6cb15edeadccb322b75f504b0708076269830501.pumpkincorp.com"
"26","12.606680","147.182.172.189","192.168.1.10","DNS","142","c936b5282b6cb15edeadccb322b75f504b0708076269830501.pumpkincorp.com","0xbc22","Standard query response 0xbc22 A c936b5282b6cb15edeadccb322b75f504b0708076269830501.pumpkincorp.com A 147.182.172.189"
"27","13.415382","192.168.1.10","147.182.172.189","DNS","126","000007030000504b0304140008080800a52c47550000000000.pumpkincorp.com","0x3f59","Standard query 0x3f59 A 000007030000504b0304140008080800a52c47550000000000.pumpkincorp.com"
"28","13.578569","147.182.172.189","192.168.1.10","DNS","142","000007030000504b0304140008080800a52c47550000000000.pumpkincorp.com","0x3f59","Standard query response 0x3f59 A 000007030000504b0304140008080800a52c47550000000000.pumpkincorp.com A 147.182.172.189"
"29","14.440828","192.168.1.10","147.182.172.189","DNS","126","0000000000000018000000786c2f64726177696e67732f6472.pumpkincorp.com","0x8868","Standard query 0x8868 A 0000000000000018000000786c2f64726177696e67732f6472.pumpkincorp.com"
"30","14.579630","147.182.172.189","192.168.1.10","DNS","142","0000000000000018000000786c2f64726177696e67732f6472.pumpkincorp.com","0x8868","Standard query response 0x8868 A 0000000000000018000000786c2f64726177696e67732f6472.pumpkincorp.com A 147.182.172.189"
"31","15.383817","192.168.1.10","147.182.172.189","DNS","126","6177696e67322e786d6c9dd05d6ec2300c07f013ec0e55de69.pumpkincorp.com","0x25d8","Standard query 0x25d8 A 6177696e67322e786d6c9dd05d6ec2300c07f013ec0e55de69.pumpkincorp.com"
"32","15.576590","147.182.172.189","192.168.1.10","DNS","142","6177696e67322e786d6c9dd05d6ec2300c07f013ec0e55de69.pumpkincorp.com","0x25d8","Standard query response 0x25d8 A 6177696e67322e786d6c9dd05d6ec2300c07f013ec0e55de69.pumpkincorp.com A 147.182.172.189"
"33","16.383882","192.168.1.10","147.182.172.189","DNS","126","5a181343145ed04e300ee0256e1b918fca0ea3dc7ed14a3669.pumpkincorp.com","0x2f10","Standard query 0x2f10 A 5a181343145ed04e300ee0256e1b918fca0ea3dc7ed14a3669.pumpkincorp.com"
"34","16.600954","147.182.172.189","192.168.1.10","DNS","142","5a181343145ed04e300ee0256e1b918fca0ea3dc7ed14a3669.pumpkincorp.com","0x2f10","Standard query response 0x2f10 A 5a181343145ed04e300ee0256e1b918fca0ea3dc7ed14a3669.pumpkincorp.com A 147.182.172.189"
"35","17.406855","192.168.1.10","147.182.172.189","DNS","126","7b011e6dcb3ff9efcd6e74b6f84462137c23eab212057a15b4.pumpkincorp.com","0xecf5","Standard query 0xecf5 A 7b011e6dcb3ff9efcd6e74b6f84462137c23eab212057a15b4.pumpkincorp.com"
"36","17.635638","147.182.172.189","192.168.1.10","DNS","142","7b011e6dcb3ff9efcd6e74b6f84462137c23eab212057a15b4.pumpkincorp.com","0xecf5","Standard query response 0xecf5 A 7b011e6dcb3ff9efcd6e74b6f84462137c23eab212057a15b4.pumpkincorp.com A 147.182.172.189"
"37","18.454980","192.168.1.10","147.182.172.189","DNS","126","f15d230eef6fb395283882d76083c7465c90c56efbb41935ad.pumpkincorp.com","0x49ea","Standard query 0x49ea A f15d230eef6fb395283882d76083c7465c90c56efbb41935ad.pumpkincorp.com"
"38","18.648464","147.182.172.189","192.168.1.10","DNS","142","f15d230eef6fb395283882d76083c7465c90c56efbb41935ad.pumpkincorp.com","0x49ea","Standard query response 0x49ea A f15d230eef6fb395283882d76083c7465c90c56efbb41935ad.pumpkincorp.com A 147.182.172.189"
"39","19.449284","192.168.1.10","147.182.172.189","DNS","126","cfbca722ed7b5ea7b2117d8cc35a4a563d3ae0320ce8d3b40d.pumpkincorp.com","0x5c48","Standard query 0x5c48 A cfbca722ed7b5ea7b2117d8cc35a4a563d3ae0320ce8d3b40d.pumpkincorp.com"
"40","19.585314","147.182.172.189","192.168.1.10","DNS","142","cfbca722ed7b5ea7b2117d8cc35a4a563d3ae0320ce8d3b40d.pumpkincorp.com","0x5c48","Standard query response 0x5c48 A cfbca722ed7b5ea7b2117d8cc35a4a563d3ae0320ce8d3b40d.pumpkincorp.com A 147.182.172.189"
"41","20.393920","192.168.1.10","147.182.172.189","DNS","126","e420a6923aa909ce497656ceabea45f240089a7bc4b89f26e2.pumpkincorp.com","0xd327","Standard query 0xd327 A e420a6923aa909ce497656ceabea45f240089a7bc4b89f26e2.pumpkincorp.com"
"42","20.594191","147.182.172.189","192.168.1.10","DNS","142","e420a6923aa909ce497656ceabea45f240089a7bc4b89f26e2.pumpkincorp.com","0xd327","Standard query response 0xd327 A e420a6923aa909ce497656ceabea45f240089a7bc4b89f26e2.pumpkincorp.com A 147.182.172.189"
"43","21.273306","192.168.1.10","147.182.172.189","DNS","126","eac1039a03e3f3fe4dd784b6350af7419d1cfa3821841662fa.pumpkincorp.com","0x854c","Standard query 0x854c A eac1039a03e3f3fe4dd784b6350af7419d1cfa3821841662fa.pumpkincorp.com"
"44","21.521536","147.182.172.189","192.168.1.10","DNS","142","eac1039a03e3f3fe4dd784b6350af7419d1cfa3821841662fa.pumpkincorp.com","0x854c","Standard query response 0x854c A eac1039a03e3f3fe4dd784b6350af7419d1cfa3821841662fa.pumpkincorp.com A 147.182.172.189"
"45","22.207083","192.168.1.10","147.182.172.189","DNS","126","05f766e0aca907ae513d50fc01c67f82338a028736962ab8eb.pumpkincorp.com","0xf305","Standard query 0xf305 A 05f766e0aca907ae513d50fc01c67f82338a028736962ab8eb.pumpkincorp.com"
"46","22.437823","147.182.172.189","192.168.1.10","DNS","142","05f766e0aca907ae513d50fc01c67f82338a028736962ab8eb.pumpkincorp.com","0xf305","Standard query response 0xf305 A 05f766e0aca907ae513d50fc01c67f82338a028736962ab8eb.pumpkincorp.com A 147.182.172.189"
"47","23.318841","192.168.1.10","147.182.172.189","DNS","126","29d94842fd3c0938fe1af5ddc852becad55fc8dd14c7011d4f.pumpkincorp.com","0x3973","Standard query 0x3973 A 29d94842fd3c0938fe1af5ddc852becad55fc8dd14c7011d4f.pumpkincorp.com"
"48","23.526726","147.182.172.189","192.168.1.10","DNS","142","29d94842fd3c0938fe1af5ddc852becad55fc8dd14c7011d4f.pumpkincorp.com","0x3973","Standard query response 0x3973 A 29d94842fd3c0938fe1af5ddc852becad55fc8dd14c7011d4f.pumpkincorp.com A 147.182.172.189"
"49","24.386811","192.168.1.10","147.182.172.189","DNS","126","c32cb9437ac887b1265ebe93654677ee81b768031d81cbc8b8.pumpkincorp.com","0x5aeb","Standard query 0x5aeb A c32cb9437ac887b1265ebe93654677ee81b768031d81cbc8b8.pumpkincorp.com"
"50","24.587798","147.182.172.189","192.168.1.10","DNS","142","c32cb9437ac887b1265ebe93654677ee81b768031d81cbc8b8.pumpkincorp.com","0x5aeb","Standard query response 0x5aeb A c32cb9437ac887b1265ebe93654677ee81b768031d81cbc8b8.pumpkincorp.com A 147.182.172.189"
"51","25.439080","192.168.1.10","147.182.172.189","DNS","126","38f8e3ddb12ac936b5282b6cb15edeadccb322b75f504b0708.pumpkincorp.com","0xe6a0","Standard query 0xe6a0 A 38f8e3ddb12ac936b5282b6cb15edeadccb322b75f504b0708.pumpkincorp.com"
"52","25.611826","147.182.172.189","192.168.1.10","DNS","142","38f8e3ddb12ac936b5282b6cb15edeadccb322b75f504b0708.pumpkincorp.com","0xe6a0","Standard query response 0xe6a0 A 38f8e3ddb12ac936b5282b6cb15edeadccb322b75f504b0708.pumpkincorp.com A 147.182.172.189"
"53","26.481316","192.168.1.10","147.182.172.189","DNS","126","076269830501000007030000504b0304140008080800a52c47.pumpkincorp.com","0xadf2","Standard query 0xadf2 A 076269830501000007030000504b0304140008080800a52c47.pumpkincorp.com"
"54","26.622527","147.182.172.189","192.168.1.10","DNS","142","076269830501000007030000504b0304140008080800a52c47.pumpkincorp.com","0xadf2","Standard query response 0xadf2 A 076269830501000007030000504b0304140008080800a52c47.pumpkincorp.com A 147.182.172.189"
"55","27.470990","192.168.1.10","147.182.172.189","DNS","126","5500000000000000000000000018000000786c2f776f726b73.pumpkincorp.com","0xd253","Standard query 0xd253 A 5500000000000000000000000018000000786c2f776f726b73.pumpkincorp.com"
"56","27.659658","147.182.172.189","192.168.1.10","DNS","142","5500000000000000000000000018000000786c2f776f726b73.pumpkincorp.com","0xd253","Standard query response 0xd253 A 5500000000000000000000000018000000786c2f776f726b73.pumpkincorp.com A 147.182.172.189"
"57","28.478987","192.168.1.10","147.182.172.189","DNS","126","68656574732f7368656574312e786d6ccd58ed72da38147d82.pumpkincorp.com","0xf83e","Standard query 0xf83e A 68656574732f7368656574312e786d6ccd58ed72da38147d82.pumpkincorp.com"
"58","28.683684","147.182.172.189","192.168.1.10","DNS","142","68656574732f7368656574312e786d6ccd58ed72da38147d82.pumpkincorp.com","0xf83e","Standard query response 0xf83e A 68656574732f7368656574312e786d6ccd58ed72da38147d82.pumpkincorp.com A 147.182.172.189"
"59","29.496459","192.168.1.10","147.182.172.189","DNS","126","7d07d793e990d914636383a1402760039949d20c49bbb33f15.pumpkincorp.com","0xf4fc","Standard query 0xf4fc A 7d07d793e990d914636383a1402760039949d20c49bbb33f15.pumpkincorp.com"
"60","29.710907","147.182.172.189","192.168.1.10","DNS","142","7d07d793e990d914636383a1402760039949d20c49bbb33f15.pumpkincorp.com","0xf4fc","Standard query response 0xf4fc A 7d07d793e990d914636383a1402760039949d20c49bbb33f15.pumpkincorp.com A 147.182.172.189"
"61","30.516877","192.168.1.10","147.182.172.189","DNS","126","5b8037b6e5da7220fbf42b59f2974c02ddc976f64f620ee75e.pumpkincorp.com","0x9f17","Standard query 0x9f17 A 5b8037b6e5da7220fbf42b59f2974c02ddc976f64f620ee75e.pumpkincorp.com"
"62","30.732214","147.182.172.189","192.168.1.10","DNS","142","5b8037b6e5da7220fbf42b59f2974c02ddc976f64f620ee75e.pumpkincorp.com","0x9f17","Standard query response 0x9f17 A 5b8037b6e5da7220fbf42b59f2974c02ddc976f64f620ee75e.pumpkincorp.com A 147.182.172.189"
"63","31.531850","192.168.1.10","147.182.172.189","DNS","126","9d23dd2b248fbeec035f7a8671e2a1702cabed8e2cc1d041ae.pumpkincorp.com","0x14e4","Standard query 0x14e4 A 9d23dd2b248fbeec035f7a8671e2a1702cabed8e2cc1d041ae.pumpkincorp.com"
"64","31.671189","147.182.172.189","192.168.1.10","DNS","142","9d23dd2b248fbeec035f7a8671e2a1702cabed8e2cc1d041ae.pumpkincorp.com","0x14e4","Standard query response 0x14e4 A 9d23dd2b248fbeec035f7a8671e2a1702cabed8e2cc1d041ae.pumpkincorp.com A 147.182.172.189"
"65","32.440899","192.168.1.10","147.182.172.189","DNS","126","176ec6f2b787f9275396120c4217f8288463f90526f297c96f.pumpkincorp.com","0xcc38","Standard query 0xcc38 A 176ec6f2b787f9275396120c4217f8288463f90526f297c96f.pumpkincorp.com"
"66","32.677581","147.182.172.189","192.168.1.10","DNS","142","176ec6f2b787f9275396120c4217f8288463f90526f297c96f.pumpkincorp.com","0xcc38","Standard query response 0xcc38 A 176ec6f2b787f9275396120c4217f8288463f90526f297c96f.pumpkincorp.com A 147.182.172.189"
"67","33.505355","192.168.1.10","147.182.172.189","DNS","126","a31d8a9f922d84582209c2642c6f318e868a92385b1880a48d.pumpkincorp.com","0xc38d","Standard query 0xc38d A a31d8a9f922d84582209c2642c6f318e868a92385b1880a48d.pumpkincorp.com"
"68","33.701250","147.182.172.189","192.168.1.10","DNS","142","a31d8a9f922d84582209c2642c6f318e868a92385b1880a48d.pumpkincorp.com","0xc38d","Standard query response 0xc38d A a31d8a9f922d84582209c2642c6f318e868a92385b1880a48d.pumpkincorp.com A 147.182.172.189"
"69","34.506784","192.168.1.10","147.182.172.189","DNS","126","2218926fd6280e00261fe38d924431046e1614f88ad6e9f494.pumpkincorp.com","0xde1d","Standard query 0xde1d A 2218926fd6280e00261fe38d924431046e1614f88ad6e9f494.pumpkincorp.com"
"70","34.725866","147.182.172.189","192.168.1.10","DNS","142","2218926fd6280e00261fe38d924431046e1614f88ad6e9f494.pumpkincorp.com","0xde1d","Standard query response 0xde1d A 2218926fd6280e00261fe38d924431046e1614f88ad6e9f494.pumpkincorp.com A 147.182.172.189"
"71","35.527373","192.168.1.10","147.182.172.189","DNS","126","0078a1cc320ce35372a0f5da73a0859c348021664962e8034c.pumpkincorp.com","0xe63b","Standard query 0xe63b A 0078a1cc320ce35372a0f5da73a0859c348021664962e8034c.pumpkincorp.com"
"72","35.749869","147.182.172.189","192.168.1.10","DNS","142","0078a1cc320ce35372a0f5da73a0859c348021664962e8034c.pumpkincorp.com","0xe63b","Standard query response 0xe63b A 0078a1cc320ce35372a0f5da73a0859c348021664962e8034c.pumpkincorp.com A 147.182.172.189"
"73","36.596517","192.168.1.10","147.182.172.189","DNS","126","e4275b2f4af26cc1be912ef09c1825688ddb0e0a7826a2c051.pumpkincorp.com","0x1d19","Standard query 0x1d19 A e4275b2f4af26cc1be912ef09c1825688ddb0e0a7826a2c051.pumpkincorp.com"
"74","36.773715","147.182.172.189","192.168.1.10","DNS","142","e4275b2f4af26cc1be912ef09c1825688ddb0e0a7826a2c051.pumpkincorp.com","0x1d19","Standard query response 0x1d19 A e4275b2f4af26cc1be912ef09c1825688ddb0e0a7826a2c051.pumpkincorp.com A 147.182.172.189"
"75","37.600373","192.168.1.10","147.182.172.189","DNS","126","e0de819920b32628704e511480f8298d3e91941151f1e8f91e.pumpkincorp.com","0xae21","Standard query 0xae21 A e0de819920b32628704e511480f8298d3e91941151f1e8f91e.pumpkincorp.com"
"76","37.797649","147.182.172.189","192.168.1.10","DNS","142","e0de819920b32628704e511480f8298d3e91941151f1e8f91e.pumpkincorp.com","0xae21","Standard query response 0xae21 A e0de819920b32628704e511480f8298d3e91941151f1e8f91e.pumpkincorp.com A 147.182.172.189"
"77","38.567305","192.168.1.10","147.182.172.189","DNS","126","7ec97415699ec7721a87439ee3532183c60cc9f8c3e7c0cfc9.pumpkincorp.com","0xa50a","Standard query 0xa50a A 7ec97415699ec7721a87439ee3532183c60cc9f8c3e7c0cfc9.pumpkincorp.com"
"78","38.718858","147.182.172.189","192.168.1.10","DNS","142","7ec97415699ec7721a87439ee3532183c60cc9f8c3e7c0cfc9.pumpkincorp.com","0xa50a","Standard query response 0xa50a A 7ec97415699ec7721a87439ee3532183c60cc9f8c3e7c0cfc9.pumpkincorp.com A 147.182.172.189"
"79","39.448175","192.168.1.10","147.182.172.189","DNS","126","7b553f4d77633207caa0a67eaf1aff2e93da51545548a583e6.pumpkincorp.com","0x559c","Standard query 0x559c A 7b553f4d77633207caa0a67eaf1aff2e93da51545548a583e6.pumpkincorp.com"
"80","39.586837","147.182.172.189","192.168.1.10","DNS","142","7b553f4d77633207caa0a67eaf1aff2e93da51545548a583e6.pumpkincorp.com","0x559c","Standard query response 0x559c A 7b553f4d77633207caa0a67eaf1aff2e93da51545548a583e6.pumpkincorp.com A 147.182.172.189"
"81","40.410564","192.168.1.10","147.182.172.189","DNS","126","5c9c2e0b3845a6e0b434c58af012998cb29477f1648452ec7b.pumpkincorp.com","0x4256","Standard query 0x4256 A 5c9c2e0b3845a6e0b434c58af012998cb29477f1648452ec7b.pumpkincorp.com"
"82","40.667628","147.182.172.189","192.168.1.10","DNS","142","5c9c2e0b3845a6e0b434c58af012998cb29477f1648452ec7b.pumpkincorp.com","0x4256","Standard query response 0x4256 A 5c9c2e0b3845a6e0b434c58af012998cb29477f1648452ec7b.pumpkincorp.com A 147.182.172.189"
"83","41.464109","192.168.1.10","147.182.172.189","DNS","126","21bc8ba5240dc8e4bf4ca18f766399142e0756de668b29a04c.pumpkincorp.com","0x5eeb","Standard query 0x5eeb A 21bc8ba5240dc8e4bf4ca18f766399142e0756de668b29a04c.pumpkincorp.com"
"84","41.688894","147.182.172.189","192.168.1.10","DNS","142","21bc8ba5240dc8e4bf4ca18f766399142e0756de668b29a04c.pumpkincorp.com","0x5eeb","Standard query response 0x5eeb A 21bc8ba5240dc8e4bf4ca18f766399142e0756de668b29a04c.pumpkincorp.com A 147.182.172.189"
"85","42.474570","192.168.1.10","147.182.172.189","DNS","126","464a11973d7cf7e02ea93c4bb48c1f117aa21fae5c1a341945.pumpkincorp.com","0xf969","Standard query 0xf969 A 464a11973d7cf7e02ea93c4bb48c1f117aa21fae5c1a341945.pumpkincorp.com"
"86","42.714287","147.182.172.189","192.168.1.10","DNS","142","464a11973d7cf7e02ea93c4bb48c1f117aa21fae5c1a341945.pumpkincorp.com","0xf969","Standard query response 0xf969 A 464a11973d7cf7e02ea93c4bb48c1f117aa21fae5c1a341945.pumpkincorp.com A 147.182.172.189"
"87","43.526733","192.168.1.10","147.182.172.189","DNS","126","2084d2cb7d4456722cebb423308aaee11acfa0ef8fe54b4396.pumpkincorp.com","0x003c","Standard query 0x003c A 2084d2cb7d4456722cebb423308aaee11acfa0ef8fe54b4396.pumpkincorp.com"
"88","43.668433","147.182.172.189","192.168.1.10","DNS","142","2084d2cb7d4456722cebb423308aaee11acfa0ef8fe54b4396.pumpkincorp.com","0x003c","Standard query response 0x003c A 2084d2cb7d4456722cebb423308aaee11acfa0ef8fe54b4396.pumpkincorp.com A 147.182.172.189"
"89","44.527835","192.168.1.10","147.182.172.189","DNS","126","8083bd67780768473c228c5140bfcf3a0513681da3bf6148c7.pumpkincorp.com","0x92d4","Standard query 0x92d4 A 8083bd67780768473c228c5140bfcf3a0513681da3bf6148c7.pumpkincorp.com"
"90","44.762813","147.182.172.189","192.168.1.10","DNS","142","8083bd67780768473c228c5140bfcf3a0513681da3bf6148c7.pumpkincorp.com","0x92d4","Standard query response 0x92d4 A 8083bd67780768473c228c5140bfcf3a0513681da3bf6148c7.pumpkincorp.com A 147.182.172.189"
"91","45.577261","192.168.1.10","147.182.172.189","DNS","126","4fa00f1d5a9c3c84a59892e2487ec470cd1e23314f219ccaaa.pumpkincorp.com","0xfde5","Standard query 0xfde5 A 4fa00f1d5a9c3c84a59892e2487ec470cd1e23314f219ccaaa.pumpkincorp.com"
"92","45.784698","147.182.172.189","192.168.1.10","DNS","142","4fa00f1d5a9c3c84a59892e2487ec470cd1e23314f219ccaaa.pumpkincorp.com","0xfde5","Standard query response 0xfde5 A 4fa00f1d5a9c3c84a59892e2487ec470cd1e23314f219ccaaa.pumpkincorp.com A 147.182.172.189"
"93","46.598506","192.168.1.10","147.182.172.189","DNS","126","3ee7dae75901923970d284042d21b3acca920bd720f5f10cf9.pumpkincorp.com","0xc7fd","Standard query 0xc7fd A 3ee7dae75901923970d284042d21b3acca920bd720f5f10cf9.pumpkincorp.com"
"94","46.808926","147.182.172.189","192.168.1.10","DNS","142","3ee7dae75901923970d284042d21b3acca920bd720f5f10cf9.pumpkincorp.com","0xc7fd","Standard query response 0xc7fd A 3ee7dae75901923970d284042d21b3acca920bd720f5f10cf9.pumpkincorp.com A 147.182.172.189"
"95","47.636045","192.168.1.10","147.182.172.189","DNS","126","7f782ede124c6bf7ba05be42bb826cb4fb061dca417e92fde5.pumpkincorp.com","0x50ea","Standard query 0x50ea A 7f782ede124c6bf7ba05be42bb826cb4fb061dca417e92fde5.pumpkincorp.com"
"96","47.832677","147.182.172.189","192.168.1.10","DNS","142","7f782ede124c6bf7ba05be42bb826cb4fb061dca417e92fde5.pumpkincorp.com","0x50ea","Standard query response 0x50ea A 7f782ede124c6bf7ba05be42bb826cb4fb061dca417e92fde5.pumpkincorp.com A 147.182.172.189"
"97","48.678132","192.168.1.10","147.182.172.189","DNS","126","d9f240590abc90fd07fbecff8e7da3b5f3b8c3111a8fd08a08.pumpkincorp.com","0x8f86","Standard query 0x8f86 A d9f240590abc90fd07fbecff8e7da3b5f3b8c3111a8fd08a08.pumpkincorp.com"
"98","48.857368","147.182.172.189","192.168.1.10","DNS","142","d9f240590abc90fd07fbecff8e7da3b5f3b8c3111a8fd08a08.pumpkincorp.com","0x8f86","Standard query response 0x8f86 A d9f240590abc90fd07fbecff8e7da3b5f3b8c3111a8fd08a08.pumpkincorp.com A 147.182.172.189"
"99","49.696057","192.168.1.10","147.182.172.189","DNS","126","553f12d2e521dd2244ef97f20ec7e83c462f87d1dadadb3106.pumpkincorp.com","0xaaee","Standard query 0xaaee A 553f12d2e521dd2244ef97f20ec7e83c462f87d1dadadb3106.pumpkincorp.com"
"100","49.880594","147.182.172.189","192.168.1.10","DNS","142","553f12d2e521dd2244ef97f20ec7e83c462f87d1dadadb3106.pumpkincorp.com","0xaaee","Standard query response 0xaaee A 553f12d2e521dd2244ef97f20ec7e83c462f87d1dadadb3106.pumpkincorp.com A 147.182.172.189"
"101","50.693291","192.168.1.10","147.182.172.189","DNS","126","8f318a98c1b1617a3ca4ff13c3983cc614e74c61939d2da205.pumpkincorp.com","0x8736","Standard query 0x8736 A 8f318a98c1b1617a3ca4ff13c3983cc614e74c61939d2da205.pumpkincorp.com"
